"words","term.freq","doc.freq"
"kute[cutha]gn",24,16
"alla[beyond]prp",20,16
"wussû[identify]v",18,16
"ituʾaya[itu]itu",23,16
"arāku[be(come)-long]v",17,15
"manna[mannea]gn",23,15
"karṣu[slander]n",19,15
"kāṣiru[tailor]n",17,15
"ša-maṣṣarti[guard]n",17,15
"hiāṭu[supervise]v",19,15
"abnu[stone]n",20,15
"rādiu[(caravan)-guide]n",18,15
"kāribu[one-who-blesses]n",16,15
"šalšu[third]nu",15,15
"sanāqu[check]v",17,15
"kuppû[snow]n",20,15
"gerû[be(come)-hostile-to]v",16,15
"nergal-eṭir[1]pn",15,15
"ahātu[sister]n",16,15
"lahiru[1]gn",17,15
"zabinu[1]pn",25,15
"nuhšaya[1]pn",16,15
"ēpû[baker]n",17,15
"addi[1]pn",22,15
"nabu-taklak[1]pn",18,15
"ṣillaya[1]pn",17,15
"šamaš-šarru-uṣur[1]pn",15,15
"rahāṣu[trust]v",15,15
"tarṣu[correct]aj",15,14
"qarābu[battle]n",18,14
"šâšu[him]ip",14,14
"kissatu[fodder]n",24,14
"kumme[1]gn",18,14
"nabu-leʾi[1]pn",14,14
"eršu[bed]n",21,14
"tarbāṣu[courtyard]n",14,14
"šubtu[dwelling]n",14,14
"esēhu[assign]v",14,14
"ayyu[which?]qp",14,14
"palû[period-of-office]n",14,14
"mūraku[length]n",25,14
"ahāzu[take]v",19,14
"mardītu[stage]n",22,14
"šipšatu[(length-of)-wood]n",28,14
"qaštu[bow]n",16,14
"mannu-ki-ahhe[1]pn",14,14
"ṣēru[back]n",18,14
"ahu-la-amašši[1]pn",18,14
"nabu-naṣir[1]pn",16,14
"iddin-ahhe[1]pn",14,14
"nabu-nadin-ahhe[1]pn",15,14
"bani[1]pn",14,14
"nadinu[1]pn",14,14
"nargi[1]pn",15,14
"la-qepu[1]pn",14,14
"dannaya[1]pn",17,14
"ittu[sign]n",20,14
"abbūtu[fatherhood]n",15,14
"ūm[day]n",14,14
"šarāku[present]v",14,14
"ašru[place]n",16,14
"inurta-šarru-uṣur[1]pn",15,14
"ṣibûtu[wish]n",19,14
"hamû[secure]aj",16,14
"puāgu[take-away-forcibly-from]v",13,13
"dimašqa[damascus]gn",14,13
"šina[they-(f.)]ip",16,13
"elamaya[elamite]en",15,13
"karāku[roll-up]v",14,13
"waisi[1]gn",19,13
"īṣu[few]aj",13,13
"qabû[said]aj",15,13
"alahhinu[(an-official-in-temple-service)]n",17,13
"nabu-bel-šumati[1]pn",14,13
"zanānu[rain]v",13,13
"simānu[(right)-occasion]n",16,13
"šāru[wind]n",14,13
"šanîš[otherwise]av",20,13
"nashir-bel[1]pn",14,13
"apālu[pay]v",15,13
"haṭṭu[stick]n",13,13
"amru[seen]aj",17,13
"kāru[quay]n",23,13
"sadāru[place-in-order]v",17,13
"annaku[tin]n",13,13
"aššur-belu-uṣur[1]pn",13,13
"nabu-nammir[1]pn",13,13
"dananu[1]pn",13,13
"tabalayu[1]pn",13,13
"aššur-bani-apli[1]pn",14,13
"memēni[anybody]xp",14,13
"aššur-bani-apli[assurbanipal]pn",15,13
"mukin-zeri[1]pn",26,13
"nāmurtu[audience-gift]n",17,12
"dīktu[fighting]n",13,12
"hubuškaya[hubuškian]en",14,12
"damāqu[be(come)-good]v",15,12
"askuppu[(threshold)-slab]n",15,12
"itinnu[builder]n",26,12
"puršumu[old-(man)]n",14,12
"zeru-ibni[1]pn",19,12
"aššur-bani[1]pn",12,12
"āšipu[sorcerer]n",13,12
"rēmu[womb]n",15,12
"nabu-pašir[1]pn",12,12
"nani[1]pn",13,12
"ali[where?]qp",13,12
"aššur-remanni[1]pn",14,12
"šubriaya[šubrian]en",20,12
"hamšā[fifty]nu",19,12
"abu-ul-idi[1]pn",13,12
"kanāšu[bow-down]v",12,12
"pānītu[earlier-time]n",12,12
"iṣṣūru[bird]n",17,12
"aššur-leʾi[1]pn",15,12
"hakāmu[understand]v",13,12
"hadû[joyful]aj",13,12
"kur-ilaʾi[1]pn",13,12
"muterru[(re)turner]n",14,12
"ilu-ittiya[1]pn",12,12
"bel-leʾi[1]pn",13,12
"nabu-eṭir[1]pn",13,12
"šulmu-ahhe[1]pn",12,12
"aššur-daʾʾinanni[1]pn",12,12
"aššur-ahu-iddina[1]pn",12,12
"bel-šarru-uṣur[1]pn",16,12
"nušku-ilaʾi[1]pn",12,12
"issar-naʾdi[1]pn",12,12
"mērešu[cultivated-land]n",16,12
"nabu-rehtu-uṣur[1]pn",14,12
"šebû[be(come)-full]v",12,12
"labāru[be(come)-old]v",13,12
"raši-ili[1]pn",12,12
"belet[1]dn",15,12
"kaldu[chaldea]gn",14,12
"ana-nabu-taklak[1]pn",12,12
"la-qāt[from-the-hand]prp",13,12
"mehru[colleague]n",11,11
"mūgu[contingent]n",13,11
"tamû[swear]v",13,11
"til-barsip[1]gn",13,11
"muṣaṣir[1]gn",13,11
"mannu-ki-aššur[1]pn",14,11
"šanû[do-twice]v",11,11
"puqudu[1]en",12,11
"nakāru[be(come)-different]v",12,11
"urzana[1]pn",11,11
"ša-muhhi-bēti[overseer-of-the-household]n",14,11
"bel-eṭir[1]pn",14,11
"libbalaya[from-assur]en",12,11
"muṭû[deficit]n",17,11
"atru[excess]n",12,11
"keni[1]pn",12,11
"mahṣu[beaten]aj",12,11
"kilallān[both]aj",11,11
"arqu[green]aj",12,11
"kalāma[all-(of-it)]n",11,11
"hasāsu[be(come)-conscious]v",11,11
"kilizi[1]gn",12,11
"bītānu[interior]n",11,11
"nabu-šumu-uṣur[1]pn",11,11
"šuh[on-the-subject-of]prp",12,11
"adad-remanni[1]pn",11,11
"nabu-belu-uṣur[1]pn",13,11
"qurbu[relative]n",11,11
"nakkamtu[treasure]n",12,11
"kallâmāre[in-the-early-morning]av",11,11
"nabu-ušabši[1]pn",12,11
"urdu[1]pn",12,11
"nergal-ibni[1]pn",12,11
"ahuʾa-eriba[1]pn",13,11
"remanni-ilu[1]pn",17,11
"la-tubašanni-ilu[1]pn",11,11
"mithāru[corresponding-(to-one-another)]aj",11,11
"adad-šumu-uṣur[1]pn",11,11
"rubbû[increase]n",11,11
"aššatu[wife]n",17,11
"zizi[1]pn",11,11
"ahu-lamur[1]pn",12,11
"nabu-šallim[1]pn",12,11
"muṣuraya[egyptian]en",12,11
"marduku[1]pn",11,11
"aplu-uṣur[1]pn",11,11
"ša-nabu-šu[1]pn",11,11
"sakkannu[1]pn",11,11
"zeru-ken[1]pn",16,11
"mat-akkadi[babylonia]gn",14,11
"sagmegar[jupiter]cn",15,11
"lumnu[evil]n",13,11
"rašû[acquire]v",12,11
"rāʾimu[one-who-loves]n",11,11
"šamaš-šumu-ukin[1]pn",16,11
"eṭiru[1]pn",15,11
"dur-šarrukku[1]gn",12,11
"nanaya[1]dn",11,11
"ušuzzāyu[standing]aj",12,11
"belšunu[1]pn",11,11
"šatammu[administrator]n",15,11
"mar-zeri[1]pn",11,11
"maʾdû[(large)-quantity]n",11,11
